,FIP,UNITS,GasPropaneUnits,GasPropane%
0,1001,109.48613701542939,34.460488589347484,0.31474750620246217
1,1003,231.48618719764474,41.460540899045036,0.17910589569495866
2,1005,77.93916827387676,17.17800559045981,0.22040273165472624
3,1007,57.92403166682773,15.082394575987822,0.26038233427431284
4,1009,120.819275863276,27.18971898589617,0.22504454518222042
5,1011,68.21700041478846,17.664602680467876,0.2589472209721852
6,1013,51.28036333592027,13.770850059552075,0.2685404151554837
7,1015,231.83162638301258,67.94699846592125,0.293087701302949
8,1017,95.39600612492166,24.42387944411797,0.2560262262146986
9,1019,80.07311785844053,23.209320780613698,0.28985159316070264
10,1021,117.87449787070535,30.194117748113296,0.25615479423914694
11,1023,53.480743122606775,13.83199507138225,0.2586350574761431
12,1025,89.80874392387909,23.336617154789362,0.2598479405810332
13,1027,50.28551250225786,14.481803729760161,0.28799157071552
14,1029,52.01703568777744,14.73989694503992,0.2833667230388407
15,1031,91.6123287450023,18.775609759453843,0.20494632127204934
16,1033,114.12205309569012,31.323732412631333,0.2744757175579966
17,1035,60.2812650029939,14.500220797761225,0.24054274237677434
18,1037,44.18805929861229,11.892767517415605,0.2691398469674158
19,1039,93.18582681983749,23.344515571354542,0.2505157315016165
20,1041,50.152051109880674,14.247394538141682,0.2840839850582849
21,1043,176.09011042179293,40.129344841579,0.2278909630157889
22,1045,104.56618798204133,19.378956666440256,0.18532717927680875
23,1047,140.30182121268237,45.891543671839855,0.32709157497159813
24,1049,176.6923830008805,44.61482870891353,0.2525000113258487
25,1051,120.40328043044298,31.881783231628667,0.2647916495103037
26,1053,104.28176759489514,19.90496074202533,0.190876710292737
27,1055,190.5603557202023,56.56058288143763,0.2968119085823125
28,1057,63.89779419343314,17.2141616558822,0.26940150083696196
29,1059,75.37860685149215,21.708197420254155,0.28798883830557864
30,1061,92.5710233037399,16.94478765932747,0.1830463470596948
31,1063,48.59053150258613,13.372500386403605,0.27520794634016055
32,1065,66.52997331373017,17.96455273012753,0.2700219440253418
33,1067,58.71424885974966,11.07799391439343,0.18867641380979533
34,1069,147.9128819278401,25.114388920880913,0.16979176251283556
35,1071,133.60256064152506,35.40351517228134,0.26499129210011235
36,1073,800.3439428229551,249.38756606326876,0.31160049163817566
37,1075,54.18724790610575,16.294429618895958,0.30070598246898456
38,1077,163.96878459747242,41.07105558013343,0.2504809417289938
39,1079,80.40457805314418,21.548758678261034,0.268004126133442
40,1081,246.97667044327898,53.81952457406076,0.21791339431965104
41,1083,148.26105364829004,31.431358633396716,0.2120001029262834
42,1085,55.93129687951961,16.758981133937557,0.29963512503630507
43,1087,69.20723378661489,23.374989113317767,0.3377535531240758
44,1089,389.00786989178545,87.44371606755834,0.22478649620092137
45,1091,73.64592487642852,20.19269957182133,0.2741862445980946
46,1093,99.28233405571464,30.33205708667119,0.30551313458897567
47,1095,170.12876225261778,42.6753039351955,0.25084120621431755
48,1097,600.2897663571781,159.20524381699832,0.2652139895422933
49,1099,82.96702075874727,16.276218641674827,0.1961769687862248
50,1101,391.8898161320517,119.70744376891382,0.30546199171600075
51,1103,208.85918127038718,51.125236912108825,0.24478328700294272
52,1105,53.32921189530232,15.220112457994126,0.2853991633680009
53,1107,65.62821023008112,18.51792175259287,0.2821640524352599
54,1109,75.43905331118994,15.186908692282882,0.20131361709479717
55,1111,59.59384422871727,16.576908308542922,0.27816477562551317
56,1113,130.542709282841,31.372364777569985,0.24032261127350205
57,1115,161.9214306250919,41.5302709036512,0.25648409073045536
58,1117,198.28192045865887,52.08354938894616,0.26267422298749327
59,1119,75.61543196716971,18.36614801894722,0.24288888578883386
60,1121,187.06120318552507,48.18222512082343,0.2575746563173598
61,1123,101.83449704314405,26.430963633091576,0.2595482316949394
62,1125,255.29879970575058,60.62806039631282,0.237478830555376
63,1127,158.2080558254101,34.709016597830804,0.21938842757876886
64,1129,86.5888738170618,22.17699582959181,0.2561183077221403
65,1131,68.7194957553315,16.641816582429044,0.24217023712863775
66,1133,96.69606453904288,26.25212533023764,0.27149114553299986
67,2013,0.0,0.0,
68,2016,0.0,0.0,
69,2020,0.0,0.0,
70,2050,0.0,0.0,
71,2060,0.0,0.0,
72,2068,0.0,0.0,
73,2070,0.0,0.0,
74,2090,0.0,0.0,
75,2100,0.0,0.0,
76,2105,0.0,0.0,
77,2110,0.0,0.0,
78,2122,0.0,0.0,
79,2130,0.0,0.0,
80,2150,0.0,0.0,
81,2158,0.0,0.0,
82,2164,0.0,0.0,
83,2170,0.0,0.0,
84,2180,0.0,0.0,
85,2185,0.0,0.0,
86,2188,0.0,0.0,
87,2195,0.0,0.0,
88,2198,0.0,0.0,
89,2220,0.0,0.0,
90,2230,0.0,0.0,
91,2240,0.0,0.0,
92,2261,0.0,0.0,
93,2275,0.0,0.0,
94,2282,0.0,0.0,
95,2290,0.0,0.0,
96,4001,172.66994356309468,51.576624888829926,0.29870065295981
97,4003,220.95301758997817,94.81117746414304,0.4291010754154254
98,4005,171.48256667860642,69.0813415135678,0.40284760632863886
99,4007,121.7401878284777,46.03663006601552,0.3781547481336031
100,4009,64.2982083858356,25.372012570906996,0.39459905972273185
101,4011,20.444829515269067,9.948283545570687,0.4865916606514565
102,4012,72.3433723678074,19.661126342605243,0.2717750873244387
103,4013,3490.0133314268833,960.1845302808568,0.27512345630160895
104,4015,374.3203672495071,134.645663870055,0.3597070201106784
105,4017,203.5270946278461,71.98797530077933,0.3537021713615623
106,4019,1184.894568045801,464.7391773780785,0.39221985644221
107,4021,473.9364121365699,147.69368650062256,0.31163186182466823
